Name,Headquarters,AS_number
AT&T,United States,7018
Deutsche Telekom Global Carrier,Germany,3320
GTT Communications,United States,3257
Liberty Global,United Kingdom,6830
Lumen Technologies,United States,3356
Lumen Technologies,United States,3549
NTT Communications,Japan,2914
Orange,France,5511
PCCW Global,Hong Kong,3491
Sprint,United States,1239
Tata Communications,India,6453
Telecom Italia Sparkle,Italy,6762
Telia Carrier,Sweden,1299
Telxius,Spain,12956
Verizon Enterprise Solutions,United States,701
Zayo Group,United States,6461
